CID,Descriptor,Institution,Institution type,Course_Title,Local_Course_ID,Approval date,COR effective term,GI01,CB00,Last_Updated
MATH 221,Single Variable Calculus II Late Transcendentals,Glendale Community College,California Community College,CALCULUS & ANALYTIC GEOMETRY,MATH104,2023-09-01,Fall 2013,731,CCC000206290,2023-10-07
MATH 240,Ordinary Differential Equations,Chaffey College,California Community College,Differential Equations,MATH85,2023-09-01,Fall 2013,921,CCC000420175,2023-10-07
MATH 230,Multivariable Calculus,Contra Costa College,California Community College,Analytic Geometry and Calculus III,MATH290,2023-09-01,Spring 2014,311,CCC000317115,2023-10-07
MATH 230,Multivariable Calculus,College of the Canyons,California Community College,Calculus III,MATH213,2023-09-01,Fall 2015,661,CCC000063826,2023-10-07
MATH 240,Ordinary Differential Equations,San Bernardino Valley College,California Community College,Ordinary Differential Equations,MATH266,2023-09-01,Fall 2014,982,CCC000432390,2023-10-07
MATH 240,Ordinary Differential Equations,San Bernardino Valley College,California Community College,Ordinary Differential Equations,MATH266,2023-09-01,Fall 2014,982,CCC000525396,2023-10-07
MATH 230,Multivariable Calculus,Grossmont College,California Community College,Intermediate Calculus,MATH281,2023-09-01,Spring 2013,022,CCC000078736,2023-10-07
MATH 230,Multivariable Calculus,Sierra College,California Community College,Analytical Geometry and Calculus III,MATH32,2023-09-01,Fall 2013,271,CCC000046529,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Rio Hondo College,California Community College,Calculus I Honors,MATH190H,2023-09-01,Spring 2015,881,CCC000531010,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Modesto Junior College,California Community College,Calculus: First Course,MATH171,2023-09-01,Fall 2013,592,CCC000316433,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Modesto Junior College,California Community College,Calculus: First Course,MATH171,2023-09-01,Fall 2013,592,CCC000573308,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Modesto Junior College,California Community College,Calculus: First Course,MATH171,2023-09-01,Fall 2013,592,CCC000619923,2023-10-07
MATH 240,Ordinary Differential Equations,Taft College,California Community College,Ordinary Differential Equations,MATH2140,2023-09-01,Fall 2012,691,CCC000088390,2023-10-07
MATH 250,Introduction to Linear Algebra,De Anza College,California Community College,Linear Algebra,MATH2B,2023-09-01,Fall 2015,421,CCC000095015,2023-10-07
MATH 240,Ordinary Differential Equations,City College of San Francisco,California Community College,Differential Equations,MATH125,2023-09-01,Summer 2014,361,CCC000347651,2023-10-07
MATH 240,Ordinary Differential Equations,City College of San Francisco,California Community College,Differential Equations,MATH125,2023-09-01,Summer 2014,361,CCC000380021,2023-10-07
MATH 240,Ordinary Differential Equations,Rio Hondo College,California Community College,Differential Equations,MATH270,2023-09-01,Fall 2010,881,CCC000398500,2023-10-07
MATH 250,Introduction to Linear Algebra,Laney College,California Community College,Linear Algebra,MATH3E,2023-09-01,Fall 2013,343,CCC000382020,2023-10-07
